[Sun Oct 22 16:41:04.451395 2023] [core:error] [pid 29404] [client 84.247.50.238:32859] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 16:41:04.460043 2023] [core:error] [pid 22234] [client 84.247.50.238:48741] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 16:41:04.460799 2023] [core:error] [pid 30731] [client 84.247.50.238:59951] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 16:41:04.461220 2023] [core:error] [pid 26959] [client 84.247.50.238:36303] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:42.899580 2023] [core:error] [pid 27696] [client 43.249.131.225:34965] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 18:35:42.903488 2023] [core:error] [pid 752] [client 43.249.131.225:55849] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 18:35:43.351371 2023] [core:error] [pid 27676] [client 43.249.131.225:55871] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 18:35:43.351607 2023] [core:error] [pid 27694] [client 43.249.131.225:38915] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:43.360893 2023] [core:error] [pid 1570] [client 161.35.246.138:36986] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 18:35:43.365210 2023] [core:error] [pid 26546] [client 161.35.246.138:42137] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 18:35:44.240883 2023] [core:error] [pid 19001] [client 161.35.246.138:35250] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 18:35:44.359293 2023] [core:error] [pid 27831] [client 161.35.246.138:49787] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:44.665557 2023] [core:error] [pid 29297] [client 89.238.135.179:35385] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 18:35:44.670061 2023] [core:error] [pid 17653] [client 45.88.97.214:36433] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 18:35:44.763466 2023] [core:error] [pid 27696] [client 89.238.135.179:38481] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 18:35:44.765443 2023] [core:error] [pid 752] [client 45.88.97.214:34755] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:44.767543 2023] [core:error] [pid 1570] [client 89.238.135.179:55717] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:44.772534 2023] [core:error] [pid 27676] [client 89.238.135.179:38065] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 18:35:45.167272 2023] [core:error] [pid 27694] [client 217.138.255.184:48047] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 18:35:45.217697 2023] [core:error] [pid 26546] [client 217.138.255.184:45741] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 18:35:45.217920 2023] [core:error] [pid 19001] [client 217.138.255.184:36019] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 18:35:45.249910 2023] [core:error] [pid 27831] [client 217.138.255.184:54137] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 18:35:45.752720 2023] [core:error] [pid 17653] [client 45.88.97.214:41405] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 18:35:46.722258 2023] [core:error] [pid 29297] [client 45.88.97.214:52577] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 19:01:49.263817 2023] [core:error] [pid 3970] [client 111.218.1.235:51195] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 19:01:49.267253 2023] [core:error] [pid 26546] [client 111.218.1.235:43931] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 19:01:49.312594 2023] [core:error] [pid 27676] [client 111.218.1.235:35901] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 19:01:49.312783 2023] [core:error] [pid 19001] [client 111.218.1.235:39519] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 19:01:49.495184 2023] [core:error] [pid 4823] [client 106.161.65.206:53315] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 19:01:49.541307 2023] [core:error] [pid 4824] [client 106.161.65.206:60159] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 19:01:49.637411 2023] [core:error] [pid 2807] [client 106.161.65.206:50617] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 19:01:49.956549 2023] [core:error] [pid 1570] [client 106.161.65.206:43535] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 19:01:53.677926 2023] [core:error] [pid 2217] [client 116.90.74.196:58877] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 19:01:53.678438 2023] [core:error] [pid 4210] [client 116.90.74.196:42391] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 19:01:53.688169 2023] [core:error] [pid 3970] [client 116.90.74.196:44207] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 19:01:54.542771 2023] [core:error] [pid 27676] [client 116.90.74.196:33767] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 19:01:54.637435 2023] [core:error] [pid 19001] [client 103.108.92.87:35351] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 19:01:54.637649 2023] [core:error] [pid 4823] [client 103.108.92.87:60041] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 19:01:54.652075 2023] [core:error] [pid 4824] [client 103.108.92.87:48747] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
[Sun Oct 22 19:01:54.693008 2023] [core:error] [pid 2807] [client 103.108.92.87:46261] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 19:01:55.070973 2023] [core:error] [pid 1570] [client 104.244.209.75:38491] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo1.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo1.png
[Sun Oct 22 19:01:55.072013 2023] [core:error] [pid 2217] [client 104.244.209.75:58459] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo2.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo2.png
[Sun Oct 22 19:01:55.261104 2023] [core:error] [pid 4210] [client 104.244.209.75:35359] AH10244: invalid URI path (/../../portfolio/html/images/favicon-32x32.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/favicon-32x32.png
[Sun Oct 22 19:01:55.263544 2023] [core:error] [pid 3970] [client 104.244.209.75:41037] AH10244: invalid URI path (/../../portfolio/html/images/iphone_logo3.png), referer: http://apple-samsungmarket114.com/../../portfolio/html/images/iphone_logo3.png
